#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3305.8865517709187	-7.257467346314009e-18	-7.257467346314009e-18	3.002682766507999e-17
3306.0845860000018	-7.257295896311933e-18	-7.257295896311933e-18	2.991102275321999e-17
3306.282620229085	-8.144919346945807e-18	-8.144919346945807e-18	2.878973475376e-17
3306.4806544581684	-8.144727163309601e-18	-8.144727163309601e-18	2.8896129702e-17
3306.6786886872515	-7.256782189277763e-18	-7.256782189277763e-18	2.891875940975999e-17
3306.8767229163345	-7.25661116767574e-18	-7.25661116767574e-18	2.932587996995001e-17
3307.0747571454176	-7.256440252987541e-18	-7.256440252987541e-18	2.897548017294e-17
3307.272791364598	-7.256269445147066e-18	-7.256269445147066e-18	2.84461178024e-17
3307.470825593681	-7.22418052590829e-18	-7.22418052590829e-18	2.878669741418999e-17
3307.6688598227647	-7.224010681926176e-18	-7.224010681926176e-18	2.826301993004999e-17
3307.866894051848	-7.223840944089881e-18	-7.223840944089881e-18	2.928545542467999e-17
3308.0649282809304	-7.223671312324779e-18	-7.223671312324779e-18	2.941599952321001e-17
3308.2629625100135	-7.223501786556168e-18	-7.223501786556168e-18	2.874995099759001e-17
3308.460996739097	-7.223332366709265e-18	-7.223332366709265e-18	2.84256998217e-17
3308.65903096818	-7.223163052709217e-18	-7.223163052709217e-18	2.835631510336e-17
3308.857065197263	-1.5645333137599668e-20	-1.5645333137599668e-20	2.716294544849001e-17
3309.0550994164437	2.2841680666272433e-18	2.2841680666272433e-18	2.801593202928e-17
3309.2531336455268	2.2841146225305565e-18	2.2841146225305565e-18	2.914907065455e-17
3309.45116787461	2.284061211812262e-18	2.284061211812262e-18	2.82440338011e-17
3309.6492021036934	3.29897394050585e-18	3.29897394050585e-18	2.716232069102e-17
3309.8472363327764	5.5033083567053436e-18	5.5033083567053436e-18	2.749716304245999e-17
3310.0452705618595	5.5031799017098454e-18	5.5031799017098454e-18	2.853763129279999e-17
3310.2433047909426	7.506728836182963e-18	7.506728836182963e-18	2.846848067280001e-17
3310.4423291937455	7.506552954297218e-18	7.506552954297218e-18	2.953574353152e-17
3310.6403634129265	8.4716277349903e-18	8.4716277349903e-18	2.85275207074e-17
3310.8383976420096	9.644843477881159e-18	9.644843477881159e-18	2.733501346888e-17
3311.0364318710926	9.644619029855196e-18	9.644619029855196e-18	2.750479308979998e-17
3311.2344661001757	9.644394721889746e-18	9.644394721889746e-18	2.729049573432e-17
3311.432500329259	9.644170553883413e-18	9.644170553883413e-18	2.770803588105001e-17
3311.630534558342	8.470642643735774e-18	8.470642643735774e-18	2.781248093955999e-17
3311.828568787425	8.470445994100565e-18	8.470445994100565e-18	2.799978195863e-17
3312.0266030165085	9.643498888603773e-18	9.643498888603773e-18	2.741848804761001e-17
3312.2246372455916	8.470053062731872e-18	8.470053062731872e-18	2.773442265132e-17
3312.4226714746746	1.2865454145485843e-17	1.2865454145485843e-17	2.787004245059e-17
3312.6207057037577	1.2865156185161635e-17	1.2865156185161635e-17	2.786312510427e-17
3312.8187399328413	1.2864858410615927e-17	1.2864858410615927e-17	2.66986261692e-17
3313.0167741619243	1.1044185862166472e-17	1.1044185862166472e-17	2.688021328904001e-17
3313.214808391007	1.1043930542265078e-17	1.1043930542265078e-17	2.747272585491e-17
3313.412842610188	1.1043675381515352e-17	1.1043675381515352e-17	2.699349596784e-17
3313.610876839271	8.468681656515095e-18	8.468681656515095e-18	2.72088961016e-17
3313.808911068354	1.1043165536937665e-17	1.1043165536937665e-17	2.713839933411001e-17
3314.006945297437	1.2863075657063568e-17	1.2863075657063568e-17	2.649463792464e-17
3314.20497952652	1.746265648756866e-17	1.746265648756866e-17	2.60767239936e-17
3314.4030137556033	1.2862482885909044e-17	1.2862482885909044e-17	2.728941294384999e-17
3314.6010479846864	1.7461852235926578e-17	1.7461852235926578e-17	2.764718965074e-17
3314.7990822137695	1.8182612816576788e-17	1.8182612816576788e-17	2.72104081954e-17
3314.997116442853	1.8182194734502163e-17	1.8182194734502163e-17	2.707801247953999e-17
3315.195150671936	1.7460647735673843e-17	1.7460647735673843e-17	2.640531873840001e-17
3315.393184901019	1.28610041851941e-17	1.28610041851941e-17	2.679842703552e-17
3315.591219130102	1.2554058287312658e-17	1.2554058287312658e-17	2.70840263032e-17
3315.7892533591858	1.255377031710065e-17	1.255377031710065e-17	2.65961659408e-17
3315.9882777619882	1.2553481087585456e-17	1.2553481087585456e-17	2.656169423754001e-17
3316.1863119910718	1.2553193476544621e-17	1.2553193476544621e-17	2.580099851826e-17
3316.384346220155	1.2552906044438642e-17	1.2552906044438642e-17	2.661680249714e-17
3316.582380449238	1.1470362189462066e-17	1.1470362189462066e-17	2.566726725772e-17
3316.780414678321	1.1039360620724754e-17	1.1039360620724754e-17	2.501919610352e-17
3316.9784488975015	1.1039108305094084e-17	1.1039108305094084e-17	2.604916920222e-17
3317.176483126585	1.103885614634192e-17	1.103885614634192e-17	2.541605552513999e-17
3317.374517355668	1.1469313872772426e-17	1.1469313872772426e-17	2.692366761546e-17
3317.572551584751	1.1469052200818716e-17	1.1469052200818716e-17	2.53590134096e-17
3317.7705858138343	1.2550899018517305e-17	1.2550899018517305e-17	2.522832078247e-17
3317.9686200429173	1.2550613013014028e-17	1.2550613013014028e-17	2.607228380455e-17
3318.166654272001	1.2856886757622262e-17	1.2856886757622262e-17	2.676920986824001e-17
3318.364688501084	1.2550041535013705e-17	1.2550041535013705e-17	2.691257784923e-17
3318.5627227301666	1.2549756062244161e-17	1.2549756062244161e-17	2.652354250261001e-17
3318.7607569592496	1.2549470766779855e-17	1.2549470766779855e-17	2.718052067258e-17
3318.958791188333	1.146722504411601e-17	1.146722504411601e-17	2.70892716049e-17
3319.1568254174163	1.1466964669802937e-17	1.1466964669802937e-17	2.688830541474e-17
3319.3548596464993	1.1466704457133734e-17	1.1466704457133734e-17	2.6719341668e-17
3319.5528938755824	1.2548331355243029e-17	1.2548331355243029e-17	2.644304924296001e-17
3319.7509281046655	1.2548046944254984e-17	1.2548046944254984e-17	2.685819182675e-17
3319.948962333749	1.254776270975146e-17	1.254776270975146e-17	2.582300756141e-17
3320.146996562832	1.2547478651595292e-17	1.2547478651595292e-17	2.54858191665e-17
3320.345030791915	1.9269958897840294e-17	1.9269958897840294e-17	2.569728316587e-17
